"n_defiers_true","n_defiers_estimated","n_significant_defiers","beta_defier"
0,0,0,0
255,1,0,-0.1
237,9,0,-0.2
267,10,0,-0.3
245,0,0,-0.4
240,17,0,-0.5
253,63,0,-0.6
241,0,0,-0.7
227,203,0,-0.8
238,0,0,-0.9
269,217,2,-1
228,39,0,-1.1
258,305,1,-1.2
267,640,86,-1.3
245,920,138,-1.4
245,467,50,-1.5
0,27,0,0
268,1,0,-0.1
271,3,0,-0.2
254,0,0,-0.3
251,40,0,-0.4
255,80,0,-0.5
265,45,0,-0.6
251,91,0,-0.7
244,116,0,-0.8
274,83,0,-0.9
254,143,0,-1
234,355,0,-1.1
229,431,4,-1.2
252,326,7,-1.3
253,577,48,-1.4
247,450,15,-1.5
0,0,0,0
248,0,0,-0.1
248,1,0,-0.2
264,0,0,-0.3
240,1,0,-0.4
262,2,0,-0.5
260,19,0,-0.6
270,164,0,-0.7
254,117,0,-0.8
227,0,0,-0.9
272,126,6,-1
251,75,0,-1.1
240,513,13,-1.2
271,482,4,-1.3
252,933,210,-1.4
248,455,32,-1.5
0,5,0,0
264,0,0,-0.1
272,0,0,-0.2
243,2,0,-0.3
248,0,0,-0.4
261,0,0,-0.5
249,3,0,-0.6
259,3,0,-0.7
263,137,0,-0.8
277,5,0,-0.9
239,108,2,-1
247,145,0,-1.1
242,356,6,-1.2
264,391,4,-1.3
243,764,112,-1.4
223,56,0,-1.5
0,2,0,0
267,0,0,-0.1
243,19,0,-0.2
243,91,0,-0.3
248,0,0,-0.4
252,0,0,-0.5
242,29,0,-0.6
229,13,0,-0.7
271,133,0,-0.8
243,87,0,-0.9
261,11,0,-1
250,58,0,-1.1
252,94,0,-1.2
252,462,22,-1.3
226,205,9,-1.4
250,204,1,-1.5
0,0,0,0
275,78,0,-0.1
266,0,0,-0.2
256,0,0,-0.3
271,1,0,-0.4
242,0,0,-0.5
262,33,0,-0.6
242,61,0,-0.7
223,70,0,-0.8
247,0,0,-0.9
263,212,0,-1
255,81,0,-1.1
237,173,1,-1.2
252,389,24,-1.3
250,244,2,-1.4
235,501,40,-1.5
0,0,0,0
247,0,0,-0.1
280,0,0,-0.2
254,48,0,-0.3
249,0,0,-0.4
245,20,0,-0.5
227,3,0,-0.6
259,51,0,-0.7
240,145,1,-0.8
241,39,0,-0.9
254,123,0,-1
230,133,1,-1.1
243,103,0,-1.2
247,660,87,-1.3
236,219,0,-1.4
242,496,11,-1.5
0,0,0,0
252,0,0,-0.1
247,28,0,-0.2
242,0,0,-0.3
258,0,0,-0.4
239,0,0,-0.5
259,0,0,-0.6
246,0,0,-0.7
257,5,0,-0.8
245,7,0,-0.9
240,75,0,-1
280,431,7,-1.1
217,177,3,-1.2
269,37,0,-1.3
255,435,48,-1.4
234,478,23,-1.5
0,0,0,0
256,1,0,-0.1
243,0,0,-0.2
251,92,0,-0.3
252,0,0,-0.4
245,0,0,-0.5
255,192,3,-0.6
265,43,0,-0.7
248,0,0,-0.8
251,486,26,-0.9
242,549,18,-1
265,176,0,-1.1
248,806,71,-1.2
266,725,137,-1.3
233,660,25,-1.4
241,755,150,-1.5
0,3,0,0
233,0,0,-0.1
257,0,0,-0.2
264,0,0,-0.3
239,0,0,-0.4
247,6,0,-0.5
228,0,0,-0.6
254,4,0,-0.7
241,0,0,-0.8
232,83,0,-0.9
224,96,1,-1
229,1,0,-1.1
240,441,0,-1.2
240,233,0,-1.3
236,433,8,-1.4
235,222,1,-1.5
