"n_defiers_true","n_defiers_estimated","n_significant_defiers","defier_proportion"
0,0,0,0
16,0,0,0.01
22,0,0,0.02
33,0,0,0.03
42,0,0,0.04
43,0,0,0.05
58,18,0,0.06
62,0,0,0.07
82,0,0,0.08
93,0,0,0.09
113,0,0,0.1
100,0,0,0.11
142,0,0,0.12
133,0,0,0.13
160,0,0,0.14
157,0,0,0.15
169,7,0,0.16
174,0,0,0.17
205,0,0,0.18
169,0,0,0.19
186,0,0,0.2
213,0,0,0.21
211,9,0,0.22
205,0,0,0.23
246,0,0,0.24
249,82,0,0.25
264,58,0,0.26
290,96,0,0.27
269,0,0,0.28
286,0,0,0.29
279,110,0,0.3
301,20,0,0.31
352,58,0,0.32
342,103,6,0.33
369,36,0,0.34
363,31,0,0.35
375,66,0,0.36
376,239,1,0.37
373,49,0,0.38
355,54,0,0.39
379,145,0,0.4
441,512,10,0.41
448,31,0,0.42
405,4,0,0.43
456,24,0,0.44
461,593,66,0.45
488,735,84,0.46
476,679,14,0.47
493,480,4,0.48
471,474,17,0.49
490,960,331,0.5
0,0,0,0
14,0,0,0.01
23,0,0,0.02
27,0,0,0.03
46,0,0,0.04
48,0,0,0.05
72,0,0,0.06
66,0,0,0.07
73,0,0,0.08
73,0,0,0.09
97,0,0,0.1
131,6,0,0.11
123,0,0,0.12
132,1,0,0.13
150,0,0,0.14
160,0,0,0.15
165,0,0,0.16
165,4,0,0.17
179,0,0,0.18
204,0,0,0.19
204,1,0,0.2
201,2,0,0.21
243,0,0,0.22
220,0,0,0.23
263,11,0,0.24
238,5,0,0.25
280,56,0,0.26
256,0,0,0.27
277,0,0,0.28
291,74,0,0.29
279,6,0,0.3
320,107,0,0.31
321,5,0,0.32
315,0,0,0.33
355,5,0,0.34
352,160,0,0.35
366,373,9,0.36
393,255,9,0.37
365,105,0,0.38
390,194,1,0.39
388,21,0,0.4
400,222,2,0.41
427,469,5,0.42
462,58,0,0.43
401,250,7,0.44
486,534,15,0.45
471,330,2,0.46
455,293,14,0.47
497,914,213,0.48
499,972,115,0.49
