"model","min_tstat","max_tstat","pval_one_neg","mean_dydx","pval_one_pos","n_defiers_true","pct_defiers_true","n_defiers_estimated","pct_defiers_estimated","first_stage_sign","pval_defier","N"
"Forest",-7.89196218091322,22.8852895109637,1.48735942252016e-15,2.36756002218348,3.25534936375715e-116,1156,0.1156,1933,0.1933,1,1.48735942252016e-15,"Large"
"Saturated First Stage",-6.0315649375479,21.002042694617,8.40679876582079e-10,2.33933733090934,3.14127189014015e-98,1156,0.1156,1878,0.1878,1,8.40679876582079e-10,"Large"
"Forest",-2.46093020343289,40.0117288368607,0.00692886610118761,6.29019545180617,0,383,0.0383,382,0.0382,1,0.00692886610118761,"Large"
"Saturated First Stage",1.88086685642259,31.6529625432825,0.9699904527542,6.13327511464594,3.45193754100043e-220,383,0.0383,0,0,1,0.9699904527542,"Large"
"Forest",-13.3316108462785,11.307488442255,7.57943763929393e-41,-0.38439489139782,6.02446003622713e-30,3557,0.3557,4361,0.4361,-1,6.02446003622713e-30,"Large"
"Saturated First Stage",-10.8597258434161,6.89184826940625,1.27360894113521e-27,-0.46268791788493,2.75360491246268e-12,3557,0.3557,4139,0.4139,-1,2.75360491246268e-12,"Large"
"Forest",-6.94059511094641,21.6458314657492,1.95225797638919e-12,1.94081009008683,3.32664840424371e-104,1987,0.1987,2549,0.2549,1,1.95225797638919e-12,"Large"
"Saturated First Stage",-6.25602375944371,20.229043550176,2.05551060750404e-10,1.95258747407323,2.71734452248019e-91,1987,0.1987,1493,0.1493,1,2.05551060750404e-10,"Large"
"Forest",-15.2786906530247,27.7505886114101,5.30250537313767e-53,2.55764922457876,8.57106274656607e-170,1543,0.1543,3006,0.3006,1,5.30250537313767e-53,"Large"
"Saturated First Stage",-13.317882785694,29.2871390671699,2.00096607130157e-40,2.5998542043882,7.56154634537814e-189,1543,0.1543,1763,0.1763,1,2.00096607130157e-40,"Large"
"Forest",-18.3409605248381,30.014534856605,1.94923923153695e-75,2.16175046630494,3.17075528371484e-198,1695,0.1695,3382,0.3382,1,1.94923923153695e-75,"Large"
"Saturated First Stage",-16.84753021681,34.6868677765757,4.01209537663465e-63,2.06875132999504,6.21482374883376e-264,1695,0.1695,2491,0.2491,1,4.01209537663465e-63,"Large"
"Forest",-30.0494495503294,33.9643800505061,1.10988009838294e-198,1.25134839775626,3.74101348561333e-253,2879,0.2879,4390,0.439,1,1.10988009838294e-198,"Large"
"Saturated First Stage",-30.60322150497,38.7941777795814,5.48842400252546e-197,1.21421608858358,0,2879,0.2879,4423,0.4423,1,5.48842400252546e-197,"Large"
"Forest",0.735070445306269,37.8556221200811,0.768851703691025,5.63353178995067,0,138,0.0138,0,0,1,0.768851703691025,"Large"
"Saturated First Stage",6.44071577247002,42.3461355617318,0.999999999937808,5.61708100534362,0,138,0.0138,0,0,1,0.999999999937808,"Large"
"Forest",-14.9845718590596,26.3589692901025,4.63102446285112e-51,2.21233744205268,2.02527792584668e-153,1583,0.1583,3295,0.3295,1,4.63102446285112e-51,"Large"
"Saturated First Stage",-15.0152915530407,33.5663485907167,1.03225855047273e-50,2.26499326454816,2.59942679534937e-247,1583,0.1583,4355,0.4355,1,1.03225855047273e-50,"Large"
"Forest",-13.9058179730697,23.7139479149988,2.91977139474779e-44,1.4088396297573,1.29448940417386e-124,4185,0.4185,3711,0.3711,1,2.91977139474779e-44,"Large"
"Saturated First Stage",-15.7897827158346,25.4470386981304,8.5531608850722e-56,1.43742766302592,3.80647199006724e-143,4185,0.4185,3331,0.3331,1,8.5531608850722e-56,"Large"
"Forest",-49.0178179522075,39.5785249574729,0,-0.0957953957112596,0,4294,0.4294,5019,0.5019,1,0,"Large"
"Saturated First Stage",-41.0283073478679,39.7503639534167,0,-0.146724623191287,0,4294,0.4294,5009,0.5009,1,0,"Large"
"Forest",-14.7461204504454,36.9676420080575,1.62933138536094e-49,3.12031595740363,1.89639185807112e-299,1560,0.156,3320,0.332,1,1.62933138536094e-49,"Large"
"Saturated First Stage",-19.5525053121592,40.4867873114487,7.0838251623334e-84,3.11777806196878,0,1560,0.156,2246,0.2246,1,7.0838251623334e-84,"Large"
"Forest",-19.1919109008657,8.13747311873402,2.16221124051474e-82,-1.39367990081513,2.01806483310946e-16,3756,0.3756,7373,0.7373,1,2.16221124051474e-82,"Large"
"Saturated First Stage",-13.1745460410039,3.77761200431619,1.3066354354781e-39,-1.31254712457751,7.91696509662863e-05,3756,0.3756,8091,0.8091,1,1.3066354354781e-39,"Large"
"Forest",-45.0505243934079,40.0024027207433,0,-2.96793684208678,0,1902,0.1902,3844,0.3844,-1,0,"Large"
"Saturated First Stage",-44.6576800659877,23.1627071766186,0,-3.08822108640802,5.41290996144727e-119,1902,0.1902,3737,0.3737,-1,5.41290996144727e-119,"Large"
"Forest",-9.93675025794223,21.2160944051094,1.44035913913102e-23,1.27300788607845,3.39149351208271e-100,4929,0.4929,7344,0.7344,-1,3.39149351208271e-100,"Large"
"Saturated First Stage",-6.57296139584607,14.510209855592,2.58932415148739e-11,1.30458091425176,5.22003412812418e-48,4929,0.4929,8051,0.8051,-1,5.22003412812418e-48,"Large"
"Forest",-31.3135957459092,10.450462482716,1.52370910282662e-215,-3.04345600971437,7.29062165791908e-26,1186,0.1186,1956,0.1956,-1,7.29062165791908e-26,"Large"
"Saturated First Stage",-28.003107881363,5.38000400477916,1.74240283991255e-166,-2.96318326018828,3.72420908687031e-08,1186,0.1186,1842,0.1842,-1,3.72420908687031e-08,"Large"
"Forest",-25.4817193429707,30.9693937862444,1.57180388174008e-143,0.124302837027134,6.9643270837685e-211,3913,0.3913,4946,0.4946,-1,6.9643270837685e-211,"Large"
"Saturated First Stage",-24.3199489265932,25.0130625615966,2.82541117317599e-127,0.0873411046785478,2.20375949100964e-138,3913,0.3913,4981,0.4981,-1,2.20375949100964e-138,"Large"
"Forest",-19.9877748317534,29.0957523911354,3.5182192499989e-89,1.81780196060494,2.03137963204568e-186,1829,0.1829,3617,0.3617,1,3.5182192499989e-89,"Large"
"Saturated First Stage",-17.5319471063673,32.2820255661502,4.20803145235594e-68,1.84655390347031,6.25256988928279e-229,1829,0.1829,2594,0.2594,1,4.20803145235594e-68,"Large"
"Forest",-31.9056882880235,4.44564231484767,1.11326861299088e-223,-2.75709672661613,4.3814823149893e-06,1242,0.1242,1929,0.1929,-1,4.3814823149893e-06,"Large"
"Saturated First Stage",-21.6825414159098,3.61805000180994,3.27495521851667e-102,-2.77096380443052,0.000148415529058918,1242,0.1242,2659,0.2659,-1,0.000148415529058918,"Large"
"Forest",-17.6902492504094,35.2341144705037,2.49272076554735e-70,2.46011493089712,3.00409641195111e-272,1792,0.1792,3858,0.3858,1,2.49272076554735e-70,"Large"
"Saturated First Stage",-11.0712711510633,28.4077573215243,1.26310890055502e-28,2.59830732333778,8.10898257090769e-178,1792,0.1792,3675,0.3675,1,1.26310890055502e-28,"Large"
"Forest",-57.6147768435944,18.9495899966071,0,-5.59228905782604,2.22518571096815e-80,1065,0.1065,2376,0.2376,-1,2.22518571096815e-80,"Large"
"Saturated First Stage",-53.6969951829441,14.2494714432891,0,-5.44885895502949,2.25843474024237e-46,1065,0.1065,2010,0.201,-1,2.25843474024237e-46,"Large"
"Forest",-40.3862588552795,25.0847356647644,0,-1.62571470465827,3.64940902453615e-139,2682,0.2682,4273,0.4273,-1,3.64940902453615e-139,"Large"
"Saturated First Stage",-39.1802269720364,25.7733942040744,9.01077512556589e-313,-1.59591749858163,8.81366376102967e-147,2682,0.2682,4880,0.488,-1,8.81366376102967e-147,"Large"
"Forest",-13.8795679536,30.9074147102405,4.21251214252541e-44,2.28804671207688,4.74811997993278e-210,1620,0.162,2897,0.2897,1,4.21251214252541e-44,"Large"
"Saturated First Stage",-8.8792225242227,26.6622825285152,3.94523643144366e-19,2.27875686029681,6.44699754140685e-157,1620,0.162,3379,0.3379,1,3.94523643144366e-19,"Large"
"Forest",-23.1518254427414,14.1020707095593,6.96742845979597e-119,-0.380392925287025,1.84393726880883e-45,2474,0.2474,4487,0.4487,-1,1.84393726880883e-45,"Large"
"Saturated First Stage",-15.3669755909812,13.2899571178516,5.44791896677011e-53,-0.331563788536648,1.32364944444447e-40,2474,0.2474,3862,0.3862,-1,1.32364944444447e-40,"Large"
"Forest",-35.8307904341407,35.2953367702399,1.83146471930589e-281,0.686916178693907,3.46198118389452e-273,4304,0.4304,5178,0.5178,-1,3.46198118389452e-273,"Large"
"Saturated First Stage",-24.2896616624784,28.4688810051161,5.66810185975064e-127,0.663609799039978,1.42272425594248e-178,4304,0.4304,5514,0.5514,-1,1.42272425594248e-178,"Large"
"Forest",-27.3412284760875,3.37718325630018,6.86533945231606e-165,-2.78348088879444,0.000366161211403747,832,0.0832,800,0.08,-1,0.000366161211403747,"Large"
"Saturated First Stage",-20.1101639825268,2.90324668226246,1.65050080706483e-88,-2.79911988546359,0.00184657804852063,832,0.0832,1252,0.1252,-1,0.00184657804852063,"Large"
"Forest",-21.5723316693369,25.6997766439887,1.63399876662348e-103,0.119108702806325,5.87810600641645e-146,4535,0.4535,4948,0.4948,1,1.63399876662348e-103,"Large"
"Saturated First Stage",-19.1261476843856,20.0118242693123,2.0472304927912e-80,0.100710620721644,2.17227388221243e-89,4535,0.4535,5000,0.5,1,2.0472304927912e-80,"Large"
"Forest",-10.0970149853305,24.9891685112952,2.84746447433674e-24,2.2049871126899,4.00881368853659e-138,1367,0.1367,1910,0.191,1,2.84746447433674e-24,"Large"
"Saturated First Stage",-5.82166218799957,20.0850414253544,3.0030442871305e-09,2.15823906457989,4.98700874343176e-90,1367,0.1367,2128,0.2128,1,3.0030442871305e-09,"Large"
"Forest",-24.9542573508071,24.987410669473,9.59920629320469e-138,0.139676988712542,4.1891210676535e-138,4869,0.4869,4881,0.4881,1,9.59920629320469e-138,"Large"
"Saturated First Stage",-21.3913119957473,21.8901836233311,1.3301486179348e-99,0.0777756304824451,1.61106809517767e-106,4869,0.4869,4996,0.4996,1,1.3301486179348e-99,"Large"
"Forest",-14.9312201523375,8.86837149470631,1.0322675629837e-50,-0.838384787712875,3.71116771297537e-19,1754,0.1754,4195,0.4195,-1,3.71116771297537e-19,"Large"
"Saturated First Stage",-11.0498230370191,6.19080832639685,1.59970502703045e-28,-0.821803729679504,2.99282299385611e-10,1754,0.1754,3947,0.3947,-1,2.99282299385611e-10,"Large"
"Forest",-35.2771739618581,29.0735796593716,6.57485431571598e-273,-0.491039611080872,3.87428930786824e-186,2485,0.2485,4525,0.4525,-1,3.87428930786824e-186,"Large"
"Saturated First Stage",-30.2391384696511,27.3697251146743,1.4013070003859e-192,-0.514579046187848,3.14529409842724e-165,2485,0.2485,5012,0.5012,-1,3.14529409842724e-165,"Large"
"Forest",-29.3670032925691,34.1517950148755,7.24824993353123e-190,1.61662453127397,6.28787520116052e-256,3749,0.3749,5403,0.5403,-1,6.28787520116052e-256,"Large"
"Saturated First Stage",-26.4584416613528,35.0841916205857,1.85536466790974e-149,1.53993406902456,5.87217047345543e-270,3749,0.3749,5004,0.5004,-1,5.87217047345543e-270,"Large"
"Forest",-4.8553606511522,14.2349934631388,6.00839171106644e-07,1.88911817569289,2.77840634849552e-46,3621,0.3621,898,0.0898,1,6.00839171106644e-07,"Large"
"Saturated First Stage",-4.28708216251037,13.402755271217,9.13674894826628e-06,1.95205371567684,2.91297266793668e-41,3621,0.3621,363,0.0363,1,9.13674894826628e-06,"Large"
"Forest",-10.4235205738348,38.0798341657879,9.68247281499402e-26,4.61246967065138,0,895,0.0895,1350,0.135,1,9.68247281499402e-26,"Large"
"Saturated First Stage",-4.4775990158243,35.4182829811372,3.81622354202959e-06,4.62308639258035,4.46627015181036e-275,895,0.0895,1053,0.1053,1,3.81622354202959e-06,"Large"
"Forest",-48.0296749108426,31.9248816644966,0,-1.80387173786665,6.02985634907344e-224,4450,0.445,5572,0.5572,1,0,"Large"
"Saturated First Stage",-62.2052501606517,46.0489432564593,0,-1.77840767327006,0,4450,0.445,5635,0.5635,1,0,"Large"
"Forest",-48.1367596405211,28.9420627365462,0,-3.84216597287276,1.76603085878604e-184,1641,0.1641,3045,0.3045,-1,1.76603085878604e-184,"Large"
"Saturated First Stage",-53.7011566025209,19.9953518323398,0,-3.86144931903647,3.02255271151973e-89,1641,0.1641,3728,0.3728,-1,3.02255271151973e-89,"Large"
"Forest",-16.3084154406802,23.0395393683222,4.29973544497288e-60,1.46302132061453,9.36358621360456e-118,2176,0.2176,3208,0.3208,1,4.29973544497288e-60,"Large"
"Saturated First Stage",-11.8041144762961,22.0663333991209,3.02833290011213e-32,1.54666588378198,3.32882811523418e-108,2176,0.2176,3919,0.3919,1,3.02833290011213e-32,"Large"
"Forest",-7.60932510882288,40.2657927234359,1.37765436339231e-14,5.30375357815295,0,759,0.0759,1369,0.1369,1,1.37765436339231e-14,"Large"
"Saturated First Stage",-3.1646310980989,35.3737001731425,0.000778727903193104,5.34147574191845,2.16685928945837e-274,759,0.0759,970,0.097,1,0.000778727903193104,"Large"
"Forest",-24.9242844130765,19.1557562487524,2.02951437570796e-137,-2.60276262646621,4.33287028980842e-82,2587,0.2587,3170,0.317,-1,4.33287028980842e-82,"Large"
"Saturated First Stage",-34.4722937572009,12.7027611366772,1.87319340927514e-246,-2.62181915154739,2.85398471897765e-37,2587,0.2587,2700,0.27,-1,2.85398471897765e-37,"Large"
"Forest",-27.7250245331334,28.6392962198327,1.74336534377288e-169,-0.162279974555643,1.08952186773497e-180,3426,0.3426,4987,0.4987,-1,1.08952186773497e-180,"Large"
