"model","min_tstat","max_tstat","pval_one_neg","mean_dydx","pval_one_pos","n_defiers_true","pct_defiers_true","n_defiers_estimated","pct_defiers_estimated","first_stage_sign","pval_defier","N"
"Forest",-9.60661148293497,18.8400051905258,3.74878973199425e-22,2.68977881218435,1.77465443697797e-79,1324,0.2648,843,0.1686,1,3.74878973199425e-22,"Medium"
"Saturated First Stage",-5.0115330749315,20.3648442620695,2.7931944180812e-07,2.74832492192854,1.71470689439611e-92,1324,0.2648,1042,0.2084,1,2.7931944180812e-07,"Medium"
"Forest",-34.8821552242111,4.98804175040154,6.93172844283071e-267,-5.96374527448634,3.0497194627588e-07,258,0.0516,442,0.0884,-1,3.0497194627588e-07,"Medium"
"Saturated First Stage",-29.9302595929742,3.20331780192441,1.78863683906613e-181,-6.06255555620266,0.000679269861424599,258,0.0516,258,0.0516,-1,0.000679269861424599,"Medium"
"Forest",-40.1066545423549,11.4683030959734,0,-6.36132936942257,9.51776935053078e-31,524,0.1048,956,0.1912,-1,9.51776935053078e-31,"Medium"
"Saturated First Stage",-37.8237890968384,6.40198091235654,8.5246604581418e-276,-6.32319385805221,7.66869226582416e-11,524,0.1048,852,0.1704,-1,7.66869226582416e-11,"Medium"
"Forest",-32.2985959139812,19.7054282940797,3.6598372998238e-229,-2.4375053654964,9.68481656091414e-87,885,0.177,1823,0.3646,-1,9.68481656091414e-87,"Medium"
"Saturated First Stage",-25.4900999493815,13.1494369547363,3.88044969489591e-135,-2.31359046270868,8.57231674613398e-40,885,0.177,2130,0.426,-1,8.57231674613398e-40,"Medium"
"Forest",-32.0563348907728,18.7374083389285,8.95779023902664e-226,-2.5434838104963,1.22643655202051e-78,971,0.1942,1840,0.368,-1,1.22643655202051e-78,"Medium"
"Saturated First Stage",-26.1937170446467,17.6001416454876,4.11138319529237e-142,-2.47629230402745,1.22854477269367e-69,971,0.1942,1507,0.3014,-1,1.22854477269367e-69,"Medium"
"Forest",-30.3320797104103,9.6988590161911,2.165022179836e-202,-2.38157680719144,1.52444478281537e-22,879,0.1758,1423,0.2846,-1,1.52444478281537e-22,"Medium"
"Saturated First Stage",-15.3758441310794,5.04508952931611,1.83699265558232e-52,-2.36776859045578,2.26654529088191e-07,879,0.1758,1113,0.2226,-1,2.26654529088191e-07,"Medium"
"Forest",-23.8595516916843,4.03829917958787,4.02991841122564e-126,-2.84036010347164,2.69200788848414e-05,462,0.0924,793,0.1586,-1,2.69200788848414e-05,"Medium"
"Saturated First Stage",-14.926280757478,0.546449551170588,1.27154429637181e-49,-2.87260078588943,0.292378478446082,462,0.0924,212,0.0424,-1,0.292378478446082,"Medium"
"Forest",-19.4169923626166,28.4723061401676,2.77216741787636e-84,1.23584734161677,1.2903814682642e-178,1720,0.344,2145,0.429,1,2.77216741787636e-84,"Medium"
"Saturated First Stage",-10.8992610809331,18.5712465248904,1.17901116272105e-27,1.32182690261961,2.74566043575274e-77,1720,0.344,2235,0.447,1,1.17901116272105e-27,"Medium"
"Forest",-26.2034843956435,19.9849199337541,1.21260354645817e-151,-0.52769508289333,3.72533241167652e-89,1712,0.3424,2309,0.4618,-1,3.72533241167652e-89,"Medium"
"Saturated First Stage",-21.527403594403,18.7156828430168,1.13836078530547e-98,-0.519255764665316,1.84431873968583e-78,1712,0.3424,2486,0.4972,-1,1.84431873968583e-78,"Medium"
"Forest",-25.2242169182477,40.2085606643598,1.08659053127689e-140,2.98883973496492,0,976,0.1952,1730,0.346,1,1.08659053127689e-140,"Medium"
"Saturated First Stage",-17.1441115356508,29.8540442972152,2.30504809328196e-64,3.03244781541595,3.88965340021969e-196,976,0.1952,2438,0.4876,1,2.30504809328196e-64,"Medium"
"Forest",-21.1956759985624,7.24221478316799,5.23422820316454e-100,-2.81811501299029,2.20708023643004e-13,1394,0.2788,808,0.1616,-1,2.20708023643004e-13,"Medium"
"Saturated First Stage",-17.5442832000856,4.1158169714032,3.23899062700771e-67,-2.82123000947552,1.92905190781824e-05,1394,0.2788,587,0.1174,-1,1.92905190781824e-05,"Medium"
"Forest",-42.2403002678659,18.7567773043512,0,-3.81721993096029,8.52121365554626e-79,787,0.1574,1569,0.3138,-1,8.52121365554626e-79,"Medium"
"Saturated First Stage",-33.6368222474229,12.1261568228967,4.78569542715157e-224,-3.89875993589329,3.83842207243841e-34,787,0.1574,1680,0.336,-1,3.83842207243841e-34,"Medium"
