"model","min_tstat","max_tstat","pval_one_neg","mean_dydx","pval_one_pos","n_defiers_true","pct_defiers_true","n_defiers_estimated","pct_defiers_estimated","first_stage_sign","pval_defier","N"
"Forest",-5.99106776891958,4.80275568685818,1.04233870372693e-09,-0.0836724199184076,7.82483943789336e-07,245,0.245,430,0.43,-1,7.82483943789336e-07,"Small"
"Saturated First Stage",-3.07926945021032,3.80697558796691,0.00106614653627635,0.344794804384445,7.03383127502818e-05,245,0.245,500,0.5,-1,7.03383127502818e-05,"Small"
"Forest",-5.23998404061492,6.70736623415273,8.02952424963825e-08,0.699246860828166,9.90842360812099e-12,482,0.482,366,0.366,1,8.02952424963825e-08,"Small"
"Saturated First Stage",-3.15479950683665,4.52854056582404,0.00082726208322233,0.573397478101282,2.96962399898815e-06,482,0.482,401,0.401,1,0.00082726208322233,"Small"
"Forest",-15.7602632674067,9.57601708806483,2.91946243592159e-56,-2.02949845453242,5.04298140758559e-22,268,0.268,367,0.367,-1,5.04298140758559e-22,"Small"
"Saturated First Stage",-12.2851420618077,8.509167853691,1.08797121079305e-32,-1.94672660696053,8.75930364565714e-18,268,0.268,481,0.481,-1,8.75930364565714e-18,"Small"
"Forest",-6.6521135522883,10.1180665796909,1.44456826719541e-11,1.45927991683053,2.29700302380516e-24,403,0.403,270,0.27,1,1.44456826719541e-11,"Small"
"Saturated First Stage",-3.89993171632236,6.3160088265754,5.13555294652176e-05,1.39735838391774,1.34202362687911e-10,403,0.403,500,0.5,1,5.13555294652176e-05,"Small"
"Forest",-14.1928900801148,10.2260816493168,5.06962089412646e-46,-1.8556742591061,7.57633935383161e-25,421,0.421,666,0.666,1,5.06962089412646e-46,"Small"
"Saturated First Stage",-13.8775715743873,8.97629361538809,1.913822214993e-40,-1.87135871187421,1.40020695420009e-19,421,0.421,702,0.702,1,1.913822214993e-40,"Small"
"Forest",-27.876698615904,4.9193221694237,2.55710469038035e-171,-2.54253447150812,4.34222137532567e-07,165,0.165,305,0.305,-1,4.34222137532567e-07,"Small"
"Saturated First Stage",-10.759560404449,5.52465292714743,6.53219399739202e-26,-2.32572853150312,1.65068786331055e-08,165,0.165,419,0.419,-1,1.65068786331055e-08,"Small"
"Forest",-5.94635312712302,16.0212573181357,1.37091160666381e-09,4.34136376267544,4.53978091740155e-58,137,0.137,254,0.254,1,1.37091160666381e-09,"Small"
"Saturated First Stage",-5.77448645724762,14.654196438807,5.16290240386865e-09,4.33597619331189,6.33230291446823e-49,137,0.137,289,0.289,1,5.16290240386865e-09,"Small"
"Forest",-7.44948953067199,4.20619628047297,4.68510377414596e-14,-1.5499578859038,1.29852349816089e-05,480,0.48,211,0.211,-1,1.29852349816089e-05,"Small"
"Saturated First Stage",-3.63736046348948,1.805854926492,0.000144827257504298,-1.23861174615711,0.0354705016073839,480,0.48,356,0.356,-1,0.0354705016073839,"Small"
"Forest",-6.41036254421104,28.4846081406998,7.25869962573666e-11,5.1390705243574,9.08613901986693e-179,144,0.144,280,0.28,1,7.25869962573666e-11,"Small"
"Saturated First Stage",-5.09778845676042,17.1289214361087,2.05786483821483e-07,4.76506794376188,4.51567520711092e-66,144,0.144,324,0.324,1,2.05786483821483e-07,"Small"
"Forest",-10.018329041858,6.57026289092235,6.33127929251368e-24,-0.464872814456504,2.51132525821288e-11,299,0.299,473,0.473,-1,2.51132525821288e-11,"Small"
"Saturated First Stage",-4.56710338252616,4.25411916851826,2.78386983831311e-06,-0.156954512997947,1.04936757669115e-05,299,0.299,487,0.487,-1,1.04936757669115e-05,"Small"
"Forest",-6.070071572316,30.0153382585837,6.39266284518604e-10,5.41925833551661,3.09512734997594e-198,139,0.139,280,0.28,1,6.39266284518604e-10,"Small"
"Saturated First Stage",-3.92893482547417,18.2170691989865,4.56235139042383e-05,5.61061618006931,1.88929414446017e-74,139,0.139,306,0.306,1,4.56235139042383e-05,"Small"
"Forest",-6.43185447164359,17.8230149015637,6.30282019188879e-11,2.27459078199966,2.34212529300376e-71,179,0.179,244,0.244,1,6.30282019188879e-11,"Small"
"Saturated First Stage",-5.41758277592134,8.27196447925188,3.79302249374532e-08,1.62266806379338,6.58847829033289e-17,179,0.179,484,0.484,1,3.79302249374532e-08,"Small"
"Forest",-17.5959747111329,2.44553669099403,1.32233034007216e-69,-4.80847930446156,0.00723183654929867,65,0.065,111,0.111,-1,0.00723183654929867,"Small"
"Saturated First Stage",-11.6920453018759,2.85383619768801,5.64221376198449e-30,-5.47471206671636,0.00215973983155884,65,0.065,150,0.15,-1,0.00215973983155884,"Small"
"Forest",-19.4911644928946,11.413989788955,6.52389332878417e-85,-2.88123341874118,1.78008160304982e-30,204,0.204,370,0.37,-1,1.78008160304982e-30,"Small"
"Saturated First Stage",-16.9745950825773,10.8971687982974,3.22556570150601e-57,-2.95756545905898,5.94497492478556e-28,204,0.204,370,0.37,-1,5.94497492478556e-28,"Small"
"Forest",-6.14953250656878,10.339473639945,3.88558293488789e-10,1.30358554927176,2.33547992739599e-25,195,0.195,402,0.402,1,3.88558293488789e-10,"Small"
"Saturated First Stage",-3.96824478690469,6.67025050329969,3.88147463589729e-05,1.20411852207054,1.276835806903e-11,195,0.195,412,0.412,1,3.88147463589729e-05,"Small"
"Forest",-10.4701556278461,16.0265408553192,5.92240559179836e-26,3.5867397225856,4.16988592491316e-58,203,0.203,346,0.346,1,5.92240559179836e-26,"Small"
"Saturated First Stage",-11.2547102714496,17.2794047485671,4.88835852630929e-28,3.28779230176131,3.36191761382663e-67,203,0.203,408,0.408,1,4.88835852630929e-28,"Small"
"Forest",-6.82428465788152,14.7005711173299,4.41822566448673e-12,2.49259001942446,3.19591712525942e-49,180,0.18,282,0.282,1,4.41822566448673e-12,"Small"
"Saturated First Stage",-4.54884958634614,9.05516835027709,3.03114171524083e-06,2.4891749996089,6.81786406755964e-20,180,0.18,181,0.181,1,3.03114171524083e-06,"Small"
"Forest",-18.7320002409612,10.3955522459685,1.35760078626099e-78,-3.05210760634464,1.29888851798718e-25,157,0.157,310,0.31,-1,1.29888851798718e-25,"Small"
"Saturated First Stage",-14.2481168794513,7.35776509162648,2.43359041963137e-42,-2.64984354041661,9.35073833727042e-14,157,0.157,368,0.368,-1,9.35073833727042e-14,"Small"
"Forest",-15.2560832735141,3.77091834579706,7.49925253813308e-53,-5.01282706676595,8.13239453875683e-05,99,0.099,164,0.164,-1,8.13239453875683e-05,"Small"
"Saturated First Stage",-15.0162584957075,4.74231720072317,2.26322923725037e-46,-4.82115506718906,1.05643726552972e-06,99,0.099,188,0.188,-1,1.05643726552972e-06,"Small"
"Forest",-5.17418541937391,26.8447894969468,1.1445371025323e-07,4.59813065173644,4.8514376022508e-159,116,0.116,282,0.282,1,1.1445371025323e-07,"Small"
"Saturated First Stage",-2.29752498591067,13.1594156946971,0.0108983471940774,4.62270254949259,7.51216246473675e-40,116,0.116,379,0.379,1,0.0108983471940774,"Small"
"Forest",-4.42608111179072,10.4901861411114,4.79802268016406e-06,1.92099087785767,4.79196977565534e-26,185,0.185,300,0.3,1,4.79802268016406e-06,"Small"
"Saturated First Stage",-3.28157904641017,7.4512104895038,0.000534171193899837,2.02443936812137,4.62438314741853e-14,185,0.185,488,0.488,1,0.000534171193899837,"Small"
"Forest",-13.8826373889506,-0.20830211943213,4.03591541815094e-44,-3.37123420270589,0.582503461562331,62,0.062,0,0,-1,0.582503461562331,"Small"
"Saturated First Stage",-7.19090388924649,-1.28779883691412,6.33848143829138e-13,-3.22498352508141,0.901092001363187,62,0.062,0,0,-1,0.901092001363187,"Small"
"Forest",-7.4505259268303,21.7444047175061,4.64844337640962e-14,4.34654210088666,3.90191553730526e-105,162,0.162,269,0.269,1,4.64844337640962e-14,"Small"
"Saturated First Stage",-6.07425718824618,14.2940146965281,8.86964987797697e-10,3.90332437421045,1.19228418756315e-46,162,0.162,305,0.305,1,8.86964987797697e-10,"Small"
"Forest",-16.9412130492333,3.84830933393892,1.11734340849876e-64,-2.73354205497292,5.9467906390029e-05,121,0.121,199,0.199,-1,5.9467906390029e-05,"Small"
"Saturated First Stage",-11.2838741637962,4.21513137836627,3.64483925102481e-28,-2.74426555498353,1.24816412586623e-05,121,0.121,260,0.26,-1,1.24816412586623e-05,"Small"
"Forest",-12.1326706614817,10.8404027410519,3.54494397524777e-34,-1.21659193751231,1.10746907292931e-27,205,0.205,434,0.434,-1,1.10746907292931e-27,"Small"
"Saturated First Stage",-12.1951435918537,9.44153025889512,2.85023776847801e-32,-1.24801081608392,1.8368717808079e-21,205,0.205,372,0.372,-1,1.8368717808079e-21,"Small"
"Forest",-7.47927849124676,20.0394374703428,3.73658790066716e-14,1.42890786854601,1.24786066791367e-89,226,0.226,424,0.424,1,3.73658790066716e-14,"Small"
"Saturated First Stage",-7.15458537490671,9.9293775444706,8.15724970560977e-13,1.22645401489992,1.55092887097057e-23,226,0.226,460,0.46,1,8.15724970560977e-13,"Small"
"Forest",-15.5036736912667,12.5624294607886,1.63805992317574e-54,1.30703029010784,1.69869123602337e-36,332,0.332,434,0.434,1,1.63805992317574e-54,"Small"
"Saturated First Stage",-7.34626802034716,10.2357382322874,2.12766953543179e-13,1.4130291962692,6.85725957464675e-25,332,0.332,353,0.353,1,2.12766953543179e-13,"Small"
"Forest",-20.6741414829844,2.02220523123078,2.96054231804972e-95,-4.36279013342767,0.0215775770402133,95,0.095,104,0.104,-1,0.0215775770402133,"Small"
"Saturated First Stage",-9.99943850405151,1.07848665317424,8.57049874139617e-23,-4.34634632897714,0.140408317435255,95,0.095,158,0.158,-1,0.140408317435255,"Small"
"Forest",-2.1563793395485,19.3855545598083,0.0155270282990144,6.0419286871213,5.10987420526573e-84,47,0.047,110,0.11,1,0.0155270282990144,"Small"
"Saturated First Stage",-1.06918964039188,17.6774209877133,0.142622422362764,6.14627384564201,3.12973560392585e-70,47,0.047,177,0.177,1,0.142622422362764,"Small"
"Forest",-6.65754587165181,7.61205665490836,1.39218759627103e-11,0.598433112607369,1.34884125614994e-14,252,0.252,417,0.417,1,1.39218759627103e-11,"Small"
"Saturated First Stage",-5.05660500351353,5.98471012121276,2.54169761194217e-07,0.479903831234136,1.08387789900684e-09,252,0.252,498,0.498,1,2.54169761194217e-07,"Small"
"Forest",-15.9097901382365,14.9896807524941,2.70974247056173e-57,-2.04865315152829,4.28822357936423e-51,170,0.17,408,0.408,-1,4.28822357936423e-51,"Small"
"Saturated First Stage",-12.0898776611625,7.42859037918364,8.73501144953459e-32,-2.0265450936781,5.48805365995084e-14,170,0.17,420,0.42,-1,5.48805365995084e-14,"Small"
"Forest",-8.33557964172551,13.6641448191497,3.8559723044153e-17,0.703310858635527,8.31226693388434e-43,448,0.448,471,0.471,1,3.8559723044153e-17,"Small"
"Saturated First Stage",-6.74915518734574,7.12529686067343,1.26411947490817e-11,0.181568328298432,5.19283001309279e-13,448,0.448,500,0.5,1,1.26411947490817e-11,"Small"
"Forest",-8.46250528337436,15.6022739889838,1.30846940851099e-17,1.73066050853384,3.51233659233389e-55,373,0.373,376,0.376,1,1.30846940851099e-17,"Small"
"Saturated First Stage",-7.94977759638128,13.205125389435,2.53535095266206e-15,1.87092609023352,4.09815592079813e-40,373,0.373,376,0.376,1,2.53535095266206e-15,"Small"
"Forest",-23.4805326614172,-0.232100240786902,3.22443736183082e-122,-6.75491842335608,0.591769921068351,52,0.052,0,0,-1,0.591769921068351,"Small"
