"model","min_tstat","max_tstat","pval_one_neg","mean_dydx","pval_one_pos","n_defiers_true","pct_defiers_true","n_defiers_estimated","pct_defiers_estimated","first_stage_sign","pval_defier","N"
"Forest",-8.97453703714777,15.2506442576769,1.42272948230962e-19,1.18607384723661,8.15083371148159e-53,2501,0.2501,2437,0.2437,1,1.42272948230962e-19,"Large"
"Saturated First Stage",-1.76544623060952,13.5542588047267,0.0387596717320286,1.22780812644565,3.73817575358078e-42,2501,0.2501,4248,0.4248,1,0.0387596717320286,"Large"
"Forest",-5.53488866906526,11.5870260383049,1.5571305248297e-08,0.920456540961679,2.39746681422646e-31,1854,0.1854,1942,0.1942,1,1.5571305248297e-08,"Large"
"Saturated First Stage",-1.45287190441213,10.1898366142031,0.0731453657409781,0.902373772984586,1.10066932003494e-24,1854,0.1854,2872,0.2872,1,0.0731453657409781,"Large"
"Forest",-4.48433919990425,11.8633447152478,3.65701182699449e-06,1.06433899587523,9.17478442166494e-33,1344,0.1344,1594,0.1594,1,3.65701182699449e-06,"Large"
"Saturated First Stage",-0.329903606467061,11.0694547552,0.370739857775226,1.06294290687138,8.8235516819619e-29,1344,0.1344,2174,0.2174,1,0.370739857775226,"Large"
"Forest",-5.32054160099657,15.0285583342966,5.17293935152383e-08,0.916987315335562,2.3864013673659e-51,1761,0.1761,1743,0.1743,1,5.17293935152383e-08,"Large"
"Saturated First Stage",-0.192390068576028,8.38173383829223,0.423720290889345,0.892555164124249,2.60768324358953e-17,1761,0.1761,2311,0.2311,1,0.423720290889345,"Large"
"Forest",-8.72442475100913,10.5069534910626,1.33768561611769e-18,0.949469055491091,4.01219710672213e-26,1707,0.1707,1816,0.1816,1,1.33768561611769e-18,"Large"
"Saturated First Stage",-0.341988126476535,9.2055207040361,0.366183510818649,0.968743645743162,1.70009318614435e-20,1707,0.1707,301,0.0301,1,0.366183510818649,"Large"
"Forest",-7.45922749191098,16.6447496479728,4.35156146103652e-14,0.859587392673734,1.65172384814037e-62,2230,0.223,3060,0.306,1,4.35156146103652e-14,"Large"
"Saturated First Stage",-2.97271018190533,10.8962248933276,0.00147943594005892,0.874422813346726,6.00694908832576e-28,2230,0.223,4488,0.4488,1,0.00147943594005892,"Large"
"Forest",-6.43927956193355,10.4216963688091,6.00209593275759e-11,0.831326154248119,9.87002355547377e-26,1146,0.1146,1862,0.1862,1,6.00209593275759e-11,"Large"
"Saturated First Stage",0.200073478905978,7.63383680061709,0.579286406410609,0.844952227349493,1.13934168589228e-14,1146,0.1146,0,0,1,0.579286406410609,"Large"
"Forest",-6.38220300674061,13.6849080223937,8.72791713207758e-11,1.17925273649658,6.24825879772939e-43,2141,0.2141,1631,0.1631,1,8.72791713207758e-11,"Large"
"Saturated First Stage",-0.150699803650112,11.6742033109954,0.440107785358319,1.18973059145559,8.63379293703375e-32,2141,0.2141,1171,0.1171,1,0.440107785358319,"Large"
"Forest",-6.20005398317761,15.588343926087,2.82218985752255e-10,1.05822386554644,4.36846273059721e-55,1917,0.1917,2479,0.2479,1,2.82218985752255e-10,"Large"
"Saturated First Stage",-1.87031526151561,11.7181695595284,0.030734635292737,1.0345420088806,5.14353453446356e-32,1917,0.1917,3141,0.3141,1,0.030734635292737,"Large"
"Forest",-5.61924470003838,13.1603131467043,9.58970279118828e-09,0.999947460670593,7.42346249525402e-40,1926,0.1926,1729,0.1729,1,9.58970279118828e-09,"Large"
