"model","min_tstat","max_tstat","pval_one_neg","mean_dydx","pval_one_pos","n_defiers_true","pct_defiers_true","n_defiers_estimated","pct_defiers_estimated","first_stage_sign","pval_defier","N"
"Forest",-5.37221998057621,11.3800966911438,3.88865735288341e-08,1.18707458289382,2.62707232206469e-30,940,0.188,587,0.1174,1,3.88865735288341e-08,"Medium"
"Saturated First Stage",0.180572616012304,7.63573576625092,0.571644807676821,1.21050655534692,1.12267203232888e-14,940,0.188,0,0,1,0.571644807676821,"Medium"
"Forest",-4.0861116437577,12.8788454336663,2.19331381906604e-05,1.1411089003074,2.96073734483798e-38,1353,0.2706,1291,0.2582,1,2.19331381906604e-05,"Medium"
"Saturated First Stage",-1.23168840478571,9.00349216059297,0.109061771293582,1.12115165420952,1.0932481298872e-19,1353,0.2706,1518,0.3036,1,0.109061771293582,"Medium"
"Forest",-3.48475879050484,14.7021889151933,0.000246290434862807,1.06177669473602,3.12046237262826e-49,972,0.1944,816,0.1632,1,0.000246290434862807,"Medium"
"Saturated First Stage",-1.04049919463172,7.87672623005264,0.149079224257778,1.01381088584719,1.6803507815702e-15,972,0.1944,1089,0.2178,1,0.149079224257778,"Medium"
"Forest",-6.03226358901096,13.8156005164331,8.08393860384048e-10,0.887972880660303,1.0261777636924e-43,1186,0.2372,1195,0.239,1,8.08393860384048e-10,"Medium"
"Saturated First Stage",-2.04276772475334,8.17212501533066,0.0205639376904612,0.853071187596616,1.51502153063769e-16,1186,0.2372,1915,0.383,1,0.0205639376904612,"Medium"
"Forest",-3.38923398727815,11.6837590113101,0.000350440878198214,1.09505402352936,7.71584845002878e-32,1015,0.203,965,0.193,1,0.000350440878198214,"Medium"
"Saturated First Stage",-0.727468887634835,7.50721965438037,0.233486448566084,1.07394306314861,3.01981706956811e-14,1015,0.203,950,0.19,1,0.233486448566084,"Medium"
"Forest",-4.3978063214234,11.5024745151355,5.46752454343038e-06,1.1968817842072,6.40934289018432e-31,1009,0.2018,1067,0.2134,1,5.46752454343038e-06,"Medium"
"Saturated First Stage",-0.469008521949739,9.36910505352121,0.319542017054284,1.20314942535121,3.65750620634435e-21,1009,0.2018,1463,0.2926,1,0.319542017054284,"Medium"
"Forest",-4.71514135649489,13.5717644244276,1.20771499764385e-06,1.09189594857811,2.94436089531716e-42,1019,0.2038,790,0.158,1,1.20771499764385e-06,"Medium"
"Saturated First Stage",-0.134732594445539,9.10945675453985,0.446414367708325,1.15500265431878,4.13977499841878e-20,1019,0.2038,1104,0.2208,1,0.446414367708325,"Medium"
"Forest",-6.08931296182935,15.1056556386765,5.66981284873087e-10,1.07448279862232,7.4310373521948e-52,1433,0.2866,1444,0.2888,1,5.66981284873087e-10,"Medium"
"Saturated First Stage",-2.91525350280042,9.1083662697522,0.00178490749492806,1.03493205740244,4.1815900046925e-20,1433,0.2866,1955,0.391,1,0.00178490749492806,"Medium"
"Forest",-4.493199887035,15.9738301239414,3.50804360989175e-06,1.22340939538062,9.72343835246255e-58,1309,0.2618,789,0.1578,1,3.50804360989175e-06,"Medium"
"Saturated First Stage",-1.62116343259622,9.38954940831525,0.0525228867554874,1.21385218317028,3.01287413121444e-21,1309,0.2618,769,0.1538,1,0.0525228867554874,"Medium"
