"model","min_tstat","max_tstat","pval_one_neg","mean_dydx","pval_one_pos","n_defiers_true","pct_defiers_true","n_defiers_estimated","pct_defiers_estimated","first_stage_sign","pval_defier","N"
"Forest",-2.6035219874369,7.50433268333516,0.00461356744297409,0.846611586924541,3.08711583609097e-14,173,0.173,302,0.302,1,0.00461356744297409,"Small"
"Saturated First Stage",-1.43282929715408,3.90427059318841,0.0761111587900967,0.900643829151356,4.72549957909219e-05,173,0.173,349,0.349,1,0.0761111587900967,"Small"
"Forest",-0.748985108992695,6.9502402711404,0.226933090340504,1.27855033659703,1.82332296540084e-12,152,0.152,43,0.043,1,0.226933090340504,"Small"
"Saturated First Stage",-0.206938784707092,4.02052893847586,0.418050110196621,1.38888375804529,2.90338076738488e-05,152,0.152,219,0.219,1,0.418050110196621,"Small"
"Forest",-1.72889475055353,4.7775788077651,0.0419139668808433,0.266684608044326,8.87092621120505e-07,134,0.134,368,0.368,1,0.0419139668808433,"Small"
"Saturated First Stage",-1.78506214365902,2.32741886379609,0.0372786626916071,0.243030778351705,0.0099714913635043,134,0.134,438,0.438,1,0.0372786626916071,"Small"
"Forest",-3.31534592750851,8.06870733461886,0.000457648906097741,0.87882765800319,3.55231696722322e-16,253,0.253,216,0.216,1,0.000457648906097741,"Small"
"Saturated First Stage",-0.754828477502394,4.00613959539196,0.225265713131136,1.06572633517993,3.08595907374914e-05,253,0.253,342,0.342,1,0.225265713131136,"Small"
"Forest",-4.15740551983255,8.10685392424638,1.60941163303494e-05,0.852703207943752,2.59736250763799e-16,248,0.248,301,0.301,1,1.60941163303494e-05,"Small"
"Saturated First Stage",-1.64839953415981,4.27688220370458,0.0497939979971366,0.914019474079109,9.47645126753436e-06,248,0.248,293,0.293,1,0.0497939979971366,"Small"
"Forest",-1.83247740529781,6.76059962518651,0.033440162515932,1.25188971256402,6.87108981188247e-12,191,0.191,116,0.116,1,0.033440162515932,"Small"
"Saturated First Stage",-0.458510933441085,4.44721229719566,0.323343021851277,1.4002675268973,4.3495926991457e-06,191,0.191,140,0.14,1,0.323343021851277,"Small"
