"model","min_tstat","max_tstat","pval_one_neg","mean_dydx","pval_one_pos","n_defiers_true","pct_defiers_true","n_defiers_estimated","pct_defiers_estimated","estimate","pval_defier","N"
"Forest",-2.89505264620157,7.2510118959356,0.00189547473603436,0.515973103702594,2.06834672574423e-13,78,0.0039,1739,0.08695,0.516103851837577,0.00189547473603436,"Large"
"Saturated First Stage",-0.250030385332939,4.65884212078866,0.401284495906416,0.487171541919115,1.5899648229434e-06,78,0.0039,790,0.0395,0.516103851837577,0.401284495906416,"Large"
"Forest",-2.43181426252395,8.48999530391041,0.0075117045676153,0.90996018108177,1.03322724897976e-17,28,0.0014,583,0.02915,0.905472858537716,0.0075117045676153,"Large"
"Saturated First Stage",0.15440594206273,7.82350847659948,0.561353606073565,0.903669248478975,2.56855479114117e-15,28,0.0014,0,0,0.905472858537716,0.561353606073565,"Large"
"Forest",-5.62022131869093,7.49239727947262,9.53564952654211e-09,0.18954291186851,3.38134264845441e-14,3199,0.15995,4032,0.2016,0.187336142259771,9.53564952654211e-09,"Large"
"Saturated First Stage",-2.11533850672301,3.06285676705001,0.0172128956862488,0.177688688864651,0.00109617484056371,3199,0.15995,4420,0.221,0.187336142259771,0.0172128956862488,"Large"
"Forest",-6.17391901764212,11.6526710815588,3.33088362479233e-10,0.624069437607991,1.11188699057794e-31,2767,0.13835,3161,0.15805,0.618114497914463,3.33088362479233e-10,"Large"
"Saturated First Stage",-4.38166717244678,9.94277030274258,5.94883564354404e-06,0.62266452566338,1.35589358845151e-23,2767,0.13835,2529,0.12645,0.618114497914463,5.94883564354404e-06,"Large"
"Forest",-6.52554480802247,15.3931815826845,3.3877399134495e-11,0.994681639027945,9.09327874318232e-54,2222,0.1111,2675,0.13375,1.00035927518214,3.3877399134495e-11,"Large"
"Saturated First Stage",-3.84087685056563,14.2779628118314,6.16767307481269e-05,1.00522998409247,1.50125414700732e-46,2222,0.1111,2460,0.123,1.00035927518214,6.16767307481269e-05,"Large"
"Forest",-7.98616386225076,12.7800668573006,6.96013137003339e-16,0.472383928036073,1.05943656072942e-37,3238,0.1619,3787,0.18935,0.465350154457622,6.96013137003339e-16,"Large"
"Saturated First Stage",-4.49839006892782,9.49614249428389,3.46215244300301e-06,0.465671798054858,1.08904820873699e-21,3238,0.1619,3925,0.19625,0.465350154457622,3.46215244300301e-06,"Large"
"Forest",-9.12491989888957,7.61628178072874,3.58946636029352e-20,0.0418766806716466,1.30543698935796e-14,4439,0.22195,4799,0.23995,0.0550352113398716,3.58946636029352e-20,"Large"
"Saturated First Stage",-5.2422446481258,5.62065263208181,8.09374503920163e-08,0.0536688248023377,9.51187175166732e-09,4439,0.22195,5006,0.2503,0.0550352113398716,8.09374503920163e-08,"Large"
"Forest",-6.2020010502033,11.557319660285,2.78748528912691e-10,0.498872181954936,3.38959383020481e-31,3408,0.1704,3305,0.16525,0.482968283037811,2.78748528912691e-10,"Large"
"Saturated First Stage",-5.0474193541607,8.92762993565141,2.27854771129205e-07,0.484047254499527,2.17616390354462e-19,3408,0.1704,2253,0.11265,0.482968283037811,2.27854771129205e-07,"Large"
"Forest",-5.20582378887819,6.51666453507718,9.65689281769678e-08,0.201925542262223,3.59439747940705e-11,4417,0.22085,4120,0.206,0.198973904571617,9.65689281769678e-08,"Large"
"Saturated First Stage",-2.30542621564048,4.61932502304432,0.0105815511621976,0.194156808982363,1.92495192869531e-06,4417,0.22085,4192,0.2096,0.198973904571617,0.0105815511621976,"Large"
"Forest",-22.0256154928516,17.394439094511,8.18354701754788e-108,-0.178131100404739,4.54561638295121e-68,4674,0.2337,4392,0.2196,-0.184568572431175,4.54561638295121e-68,"Large"
"Saturated First Stage",-18.227778193963,16.3469015611849,2.35609679878748e-73,-0.176155306785829,2.28833736221048e-60,4674,0.2337,4993,0.24965,-0.184568572431175,2.28833736221048e-60,"Large"
"Forest",-0.972930700889584,10.7619663199192,0.165293872620794,1.17415159055024,2.60237880678319e-27,89,0.00445,78,0.0039,1.16998492406755,0.165293872620794,"Large"
"Saturated First Stage",2.58155601083924,8.03267121116252,0.995075141667468,1.17245548353203,4.76865034162318e-16,89,0.00445,0,0,1.16998492406755,0.995075141667468,"Large"
"Forest",-8.4091167543014,17.6569813842654,2.06554868890023e-17,1.21643043767362,4.49609275260652e-70,2381,0.11905,2279,0.11395,1.2109366710012,2.06554868890023e-17,"Large"
"Saturated First Stage",-4.11677863792221,14.9529771495873,1.93647402452547e-05,1.21566082902163,7.44694936242805e-51,2381,0.11905,2181,0.10905,1.2109366710012,1.93647402452547e-05,"Large"
"Forest",-8.69746549679054,4.72815505214889,1.69689440895754e-18,-0.434206141633295,1.13284571370841e-06,2166,0.1083,2730,0.1365,-0.438141829700037,1.13284571370841e-06,"Large"
"Saturated First Stage",-6.76205710835519,2.80459265319541,7.18278212977394e-12,-0.431896111993063,0.0025190102732091,2166,0.1083,1960,0.098,-0.438141829700037,0.0025190102732091,"Large"
"Forest",-14.6100588754163,6.96347428461818,1.2115424399498e-48,-0.55294787225425,1.65990891908236e-12,3646,0.1823,3205,0.16025,-0.58016607561476,1.65990891908236e-12,"Large"
"Saturated First Stage",-9.54274299391578,4.62123558150171,8.58718301742578e-22,-0.585029543563284,1.90730651911713e-06,3646,0.1823,3335,0.16675,-0.58016607561476,1.90730651911713e-06,"Large"
"Forest",-8.38305192161743,9.22032441232371,2.57863562453258e-17,0.168453081649532,1.48101344278165e-20,4354,0.2177,4536,0.2268,0.178713630082856,2.57863562453258e-17,"Large"
"Saturated First Stage",-4.34864204735093,6.28614031442132,6.91706343165752e-06,0.170958107436965,1.6272790655474e-10,4354,0.2177,4971,0.24855,0.178713630082856,6.91706343165752e-06,"Large"
"Forest",-11.3925230023143,6.17682264436769,2.27801646782756e-30,-0.456518647636255,3.27022368300998e-10,3616,0.1808,3270,0.1635,-0.461456067018306,3.27022368300998e-10,"Large"
"Saturated First Stage",-7.02155971400705,3.15580369680939,1.16844213457549e-12,-0.449572566182223,0.000800282711736201,3616,0.1808,2458,0.1229,-0.461456067018306,0.000800282711736201,"Large"
"Forest",-9.20263034781776,7.84100491258184,1.74646394561845e-20,-0.384611381251374,2.23477476469903e-15,3245,0.16225,3588,0.1794,-0.389167737478178,2.23477476469903e-15,"Large"
"Saturated First Stage",-8.13977708003805,4.68704519795026,2.2161435938642e-16,-0.385690574742232,1.38588885109226e-06,3245,0.16225,1648,0.0824,-0.389167737478178,1.38588885109226e-06,"Large"
"Forest",-7.61008144269398,11.2800606535647,1.36961628715404e-14,0.777019207917406,8.23162155600279e-30,2950,0.1475,2140,0.107,0.761577170130233,1.36961628715404e-14,"Large"
"Saturated First Stage",-2.86700040513154,10.6681922872693,0.0020762452350288,0.769665669952008,7.16944028531024e-27,2950,0.1475,1924,0.0962,0.761577170130233,0.0020762452350288,"Large"
"Forest",-12.2286793052853,6.54821804157241,1.09230814640508e-34,-0.27281757338079,2.91138324259874e-11,4057,0.20285,4958,0.2479,-0.273454042613286,2.91138324259874e-11,"Large"
