"model","min_tstat","max_tstat","pval_one_neg","mean_dydx","pval_one_pos","n_defiers_true","pct_defiers_true","n_defiers_estimated","pct_defiers_estimated","estimate","pval_defier","N"
"Forest",-2.15336088977723,8.32433099236867,0.0156451634010718,0.652079419762928,4.24031663527638e-17,6,6e-04,600,0.06,0.642800881092266,0.0156451634010718,"Medium"
"Saturated First Stage",1.04944743711297,2.99698470573014,0.852988470883045,0.693689486889138,0.00136332196257124,6,6e-04,0,0,0.642800881092266,0.852988470883045,"Medium"
"Forest",-1.33196689226505,10.0997440900848,0.0914355340372199,1.11114583662906,2.76932666782947e-24,231,0.0231,225,0.0225,1.11612067521206,0.0914355340372199,"Medium"
"Saturated First Stage",0.390649859335633,6.73860060624832,0.651963628943884,1.13283528577279,7.99596558542902e-12,231,0.0231,0,0,1.11612067521206,0.651963628943884,"Medium"
"Forest",-3.60085417557136,7.54421681398561,0.000158586721333177,0.573044126393016,2.27506801765764e-14,1682,0.1682,1239,0.1239,0.52694987010322,0.000158586721333177,"Medium"
"Saturated First Stage",-1.81132055704123,5.42063175077573,0.0350756732727019,0.502613135801495,2.96943921577774e-08,1682,0.1682,1615,0.1615,0.52694987010322,0.0350756732727019,"Medium"
"Forest",-4.36197711821127,6.57191271522179,6.44461764164288e-06,0.404147738389771,2.48364903677684e-11,1332,0.1332,1456,0.1456,0.405143210731427,6.44461764164288e-06,"Medium"
"Saturated First Stage",-3.3998732180465,6.3063407065039,0.000339729066970275,0.428351563029965,1.42854868326414e-10,1332,0.1332,951,0.0951,0.405143210731427,0.000339729066970275,"Medium"
"Forest",-5.93917744103608,10.3317434434537,1.43227845097417e-09,0.908723301056963,2.53159166385831e-25,1262,0.1262,1307,0.1307,0.916162566113215,1.43227845097417e-09,"Medium"
"Saturated First Stage",-1.70524182592289,7.97603219278088,0.0441057860989253,0.899202458944453,7.5556271795675e-16,1262,0.1262,1762,0.1762,0.916162566113215,0.0441057860989253,"Medium"
"Forest",-5.13351193385517,8.12928326277178,1.42192494756018e-07,0.341587019554624,2.15918064915726e-16,1569,0.1569,1619,0.1619,0.328294009376208,1.42192494756018e-07,"Medium"
"Saturated First Stage",-2.83952872252064,5.30096251396182,0.0022681493934874,0.382766015376678,5.7596870915849e-08,1569,0.1569,1594,0.1594,0.328294009376208,0.0022681493934874,"Medium"
"Forest",-9.85081390101793,8.32973653276509,3.39955652223178e-23,0.0937736518083951,4.05112318564759e-17,2316,0.2316,2376,0.2376,0.0917672636521917,3.39955652223178e-23,"Medium"
"Saturated First Stage",-5.54762956270934,5.74857275635967,1.52252295745739e-08,0.0286530096441275,4.49999586133267e-09,2316,0.2316,2500,0.25,0.0917672636521917,1.52252295745739e-08,"Medium"
"Forest",-11.7810333959081,14.3131709301421,2.44449854606323e-32,0.465510114467236,9.05327529025293e-47,1921,0.1921,1870,0.187,0.456938079107119,2.44449854606323e-32,"Medium"
"Saturated First Stage",-7.24451548491428,10.6602294220001,2.50158934277216e-13,0.476588915694897,7.81058108766882e-27,1921,0.1921,2301,0.2301,0.456938079107119,2.50158934277216e-13,"Medium"
"Forest",-12.5548109682942,9.67572286534768,1.87036766203342e-36,-0.0192793734828932,1.91189865723709e-22,2588,0.2588,2807,0.2807,-0.00781785341359458,1.91189865723709e-22,"Medium"
"Saturated First Stage",-7.62258841167346,7.45335549787102,1.47885393592746e-14,-0.0268802616283758,4.54978275495482e-14,2588,0.2588,2519,0.2519,-0.00781785341359458,4.54978275495482e-14,"Medium"
"Forest",-11.5724308340953,10.6435629033889,2.84244177447684e-31,0.0997724576977795,9.34225450652042e-27,2672,0.2672,2217,0.2217,0.117410606593053,2.84244177447684e-31,"Medium"
"Saturated First Stage",-6.16978233786504,7.12651348400548,3.68914933127234e-10,0.139972883606214,5.14715790689165e-13,2672,0.2672,2513,0.2513,0.117410606593053,3.68914933127234e-10,"Medium"
"Forest",-2.03751460438444,12.7748660411215,0.0207992499660112,1.18757890795235,1.13268697588251e-37,217,0.0217,457,0.0457,1.20882820587346,0.0207992499660112,"Medium"
"Saturated First Stage",0.0331267800224729,6.98063984220453,0.513212593997689,1.19423661793996,1.46919355279713e-12,217,0.0217,0,0,1.20882820587346,0.513212593997689,"Medium"
"Forest",-7.51702541256271,13.2333050824994,2.8018264259575e-14,1.16349260503699,2.8176851359035e-40,1219,0.1219,1203,0.1203,1.13916665742647,2.8018264259575e-14,"Medium"
"Saturated First Stage",-3.10122217738456,12.0869486302119,0.000968995254136588,1.14277643857982,6.18998865998102e-34,1219,0.1219,1895,0.1895,1.13916665742647,0.000968995254136588,"Medium"
"Forest",-8.93379283370286,6.09147556804163,2.05823910979589e-19,-0.607032780526992,5.59373308192819e-10,1353,0.1353,1373,0.1373,-0.619016062165896,5.59373308192819e-10,"Medium"
"Saturated First Stage",-5.66950945197486,1.39237409040448,7.56302273707147e-09,-0.60944285167941,0.0819045730718344,1353,0.1353,1732,0.1732,-0.619016062165896,0.0819045730718344,"Medium"
"Forest",-9.36948755927513,6.90216474886096,3.64427628904284e-21,-0.419800542350602,2.56079934558643e-12,1875,0.1875,1837,0.1837,-0.423280930704276,2.56079934558643e-12,"Medium"
"Saturated First Stage",-6.9509832810275,3.51287490101076,2.04700029849247e-12,-0.453748286046118,0.000221643068238365,1875,0.1875,1635,0.1635,-0.423280930704276,0.000221643068238365,"Medium"
"Forest",-9.64682046659691,9.14084935998279,2.5351717762134e-22,0.275859634375707,3.0981865067055e-20,2218,0.2218,1922,0.1922,0.271976347354349,2.5351717762134e-22,"Medium"
"Saturated First Stage",-4.31797109151442,6.15965183196452,8.02615922882292e-06,0.263185567588949,3.64525260328557e-10,2218,0.2218,1904,0.1904,0.271976347354349,8.02615922882292e-06,"Medium"
"Forest",-10.4489511363226,5.11426880845617,7.40772992708835e-26,-0.604405670469853,1.57479287616576e-07,1934,0.1934,1278,0.1278,-0.605550995815082,1.57479287616576e-07,"Medium"
"Saturated First Stage",-6.90554544219869,2.46608797990901,2.81349887226346e-12,-0.59520811325697,0.0068298889118258,1934,0.1934,1296,0.1296,-0.605550995815082,0.0068298889118258,"Medium"
"Forest",-8.66166970228499,5.03804382644195,2.32451885500894e-18,-0.54010070401293,2.35156883844126e-07,1613,0.1613,1339,0.1339,-0.528340640783106,2.35156883844126e-07,"Medium"
"Saturated First Stage",-5.09985859987055,2.34829781120743,1.76242281670893e-07,-0.523762461109147,0.0094297176553737,1613,0.1613,1228,0.1228,-0.528340640783106,0.0094297176553737,"Medium"
"Forest",-7.14749891355654,8.74970661793656,4.4186609636493e-13,0.431888632716465,1.06954067142931e-18,1447,0.1447,1577,0.1577,0.434008924920286,4.4186609636493e-13,"Medium"
"Saturated First Stage",-3.06211899178758,5.77647777614367,0.00110473308544914,0.420377367991336,3.81402861880828e-09,1447,0.1447,1708,0.1708,0.434008924920286,0.00110473308544914,"Medium"
"Forest",-11.8362251779741,8.69645001086973,1.26806435273716e-32,-0.0281513760042319,1.71214207582927e-18,2139,0.2139,2681,0.2681,-0.0241440535106372,1.71214207582927e-18,"Medium"
"Saturated First Stage",-5.12358364820832,5.02756706330736,1.55539531693059e-07,-0.013977258426461,2.4837089524623e-07,2139,0.2139,2500,0.25,-0.0241440535106372,2.4837089524623e-07,"Medium"
