"model","min_tstat","max_tstat","pval_one_neg","mean_dydx","pval_one_pos","n_defiers_true","pct_defiers_true","n_defiers_estimated","pct_defiers_estimated","estimate","pval_defier","N"
"Forest",-1.3240828566346,4.29671344840424,0.0927377642196915,0.573772166590969,8.66745228852957e-06,174,0.087,129,0.0645,0.536048055761264,0.0927377642196915,"Small"
"Saturated First Stage",-0.692701240601202,1.96154716992681,0.244329756507281,0.57389446855647,0.0249076140684504,174,0.087,274,0.137,0.536048055761264,0.244329756507281,"Small"
"Forest",-2.20594753691504,5.24629037176352,0.0136938366286758,0.922341909614809,7.75961216364318e-08,0,0,174,0.087,0.935014195753587,0.0136938366286758,"Small"
"Saturated First Stage",-0.486945422168986,3.23928724674689,0.313202399471745,0.958108369322289,0.000599144133967415,0,0,15,0.0075,0.935014195753587,0.313202399471745,"Small"
"Forest",-2.96322342653163,4.96993636330933,0.0015221775323475,0.329431975332867,3.34874397229804e-07,344,0.172,291,0.1455,0.418960237005857,0.0015221775323475,"Small"
"Saturated First Stage",-1.63175474995605,3.06174463303501,0.0515245941415199,0.420735930210654,0.00110025548568726,344,0.172,385,0.1925,0.418960237005857,0.0515245941415199,"Small"
"Forest",-1.53065766470496,6.89696945789938,0.0629270109882845,0.919588496679634,2.65617988022555e-12,289,0.1445,136,0.068,0.938266937411008,0.0629270109882845,"Small"
"Saturated First Stage",-1.78919167314281,4.40527400576514,0.0369447839531139,0.949285960737756,5.2825123436238e-06,289,0.1445,243,0.1215,0.938266937411008,0.0369447839531139,"Small"
"Forest",-3.15589299092992,3.04273184715098,0.000800037759555624,0.344740092474549,0.00117220571025532,72,0.036,267,0.1335,0.512660915695672,0.000800037759555624,"Small"
"Saturated First Stage",-0.710160175479177,2.01128686295918,0.238886028014626,0.486241134333208,0.0221475826516007,72,0.036,269,0.1345,0.512660915695672,0.238886028014626,"Small"
"Forest",-4.59765844217619,4.06816953291857,2.13632841528651e-06,-0.336817459195951,2.36919511257946e-05,610,0.305,384,0.192,-0.328105584706422,2.36919511257946e-05,"Small"
"Saturated First Stage",-3.34427085482286,2.52245855609661,0.000427968949019913,-0.279583189753985,0.00582688407720739,610,0.305,500,0.25,-0.328105584706422,0.00582688407720739,"Small"
"Forest",-1.78697735369515,3.05409672750984,0.0369705744276381,0.201958585517019,0.00112869642058279,440,0.22,322,0.161,0.140834941800677,0.0369705744276381,"Small"
"Saturated First Stage",-0.986961894427086,1.56023886059439,0.161951233452322,0.214636284898459,0.0593517227309638,440,0.22,476,0.238,0.140834941800677,0.161951233452322,"Small"
"Forest",-4.24858196194676,3.52205272775952,1.07563969074381e-05,-0.0465656359315323,0.000214109481494347,283,0.1415,495,0.2475,0.00396768467110452,1.07563969074381e-05,"Small"
"Saturated First Stage",-1.95897419785713,2.0271981373631,0.0251980947414922,0.0210784133224804,0.0213210767896504,283,0.1415,502,0.251,0.00396768467110452,0.0251980947414922,"Small"
"Forest",-3.9119760580248,5.96791508974613,4.57719945663919e-05,0.462093765781542,1.20152179186593e-09,438,0.219,443,0.2215,0.600797357406912,4.57719945663919e-05,"Small"
"Saturated First Stage",-1.2314205189932,3.08124240290868,0.10922903138924,0.616032039260416,0.00103069377971362,438,0.219,498,0.249,0.600797357406912,0.10922903138924,"Small"
"Forest",-6.16404251023012,8.08205162269423,3.54554464171619e-10,-0.148220647947111,3.1843066766939e-16,454,0.227,431,0.2155,-0.140841162264062,3.1843066766939e-16,"Small"
"Saturated First Stage",-4.90907137057677,4.49721213001209,5.34872124511936e-07,-0.134526997891388,3.44251434670236e-06,454,0.227,492,0.246,-0.140841162264062,3.44251434670236e-06,"Small"
"Forest",-2.20369048723948,7.46113859154214,0.013773059309709,1.06497842506898,4.28889825953581e-14,95,0.0475,166,0.083,1.00231876726196,0.013773059309709,"Small"
"Saturated First Stage",-0.512821136716482,3.38879405249395,0.304095422534173,1.07371108822733,0.000351003571833329,95,0.0475,100,0.05,1.00231876726196,0.304095422534173,"Small"
"Forest",-4.7359989856927,6.87496085543299,1.08989338584693e-06,1.07742183150841,3.10034416807102e-12,114,0.057,261,0.1305,1.11296134759955,1.08989338584693e-06,"Small"
