"model","min_tstat","max_tstat","pval_one_neg","mean_dydx","pval_one_pos","n_defiers_true","pct_defiers_true","n_defiers_estimated","pct_defiers_estimated","estimate","pval_defier"
"Forest",-1.95803277629514,2.20908706608844,0.0251130834113762,0.0101371827988782,0.0135842927856412,1000,0.5,555,0.2775,0.0319160597846359,0.0251130834113762
"Saturated First Stage",-0.795634778110711,0.920785578401683,0.213217533993333,0.032687713381064,0.178581192917004,1000,0.5,494,0.247,0.0319160597846359,0.213217533993333
"Forest",-2.99986818056758,4.36452027439009,0.00135048235089997,-0.0899955619810672,6.37010169193083e-06,1000,0.5,427,0.2135,-0.04426581279573,6.37010169193083e-06
"Saturated First Stage",-1.6353847961104,1.51368199186716,0.0511431423392973,-0.0445521448991995,0.0650532572286623,1000,0.5,466,0.233,-0.04426581279573,0.0650532572286623
"Forest",-4.25156598233735,2.24862077723029,1.06140473810359e-05,-0.318729337396823,0.0122683166860055,1000,0.5,294,0.147,-0.299736417367865,0.0122683166860055
"Saturated First Stage",-1.6638375690958,0.948157984423761,0.0482306823272265,-0.302419149368533,0.171524516484947,1000,0.5,253,0.1265,-0.299736417367865,0.171524516484947
"Forest",-3.87160849101865,3.66988948594824,5.40597574336866e-05,0.0362734661058053,0.000121327676517413,1000,0.5,457,0.2285,0.110299706406712,5.40597574336866e-05
"Saturated First Stage",-1.29142663656787,1.58527608383706,0.0984286074955369,0.108266626943605,0.0564518102215482,1000,0.5,420,0.21,0.110299706406712,0.0984286074955369
"Forest",-2.63212822313406,2.39015209676133,0.00424259162466561,0.000165712376855748,0.00842069833616767,1000,0.5,550,0.275,-0.019203569788627,0.00842069833616767
"Saturated First Stage",-2.28062907675991,2.17231824951116,0.0113911054064955,-0.0200845781260345,0.0149158332234874,1000,0.5,497,0.2485,-0.019203569788627,0.0149158332234874
"Forest",-4.65851695572158,1.17972637666382,1.59247788579545e-06,-0.517487353418496,0.119054529830046,1000,0.5,155,0.0775,-0.539370804597032,0.119054529830046
"Saturated First Stage",-2.42323559232647,0.968149413770362,0.00778069685094021,-0.541488754415026,0.16648487726778,1000,0.5,190,0.095,-0.539370804597032,0.16648487726778
